id,long_name,short_name,stops
4012616,Route A,a,"4229492,4229620,4229496,4229626,4229500,4229504,4229508,4229512,4229516,4229520,4229524,4229528,4229562,4229574"
4012618,Route B,b,"4229574,4229576,4230628,4229504,4229508,4229512,4229516,4229520,4229524,4229570"
4012620,Route C,c,"4229500,4229504,4229508,4229578,4231636"
4012622,Route RBHS,rbhs_shuttle,"4229680,4229646,4229682"
4012624,Route EE,ee,"4229492,4229620,4229536,4229698,4229588,4229592,4229538,4229596,4229542,4229600,4229604,4229546,4229608,4229550,4229554,4229612,4229616,4229532,4229558,4229496"
4012626,Route F,f,"4229492,4229620,4229694,4229538,4229596,4229542,4229600,4229604,4229546,4229608,4229550,4229496"
4012628,Route H,h,"4229492,4229620,4229536,4229496,4229562,4229528,4229524,4229566,4229516,4229578,4231636,4229500,4229532,4229508"
4012630,Route LX,lx,"4229492,4229620,4229536,4229496,4229570,4229574,4229576,4229532"
4012632,Route REXB,rexb,"4229538,4229596,4229550,4229582,4229508,4229578,4231636,4229588,4229694"
4012634,Route REXL,rexl,"4229538,4229596,4229550,4229582,4229570,4229574,4229588,4229694,4229592,4229696"
4012636,Route New BrunsQuick 1 Shuttle,bruns1,"4229532,4229624,4229584,4229492,4229620"
4012638,Route New BrunsQuick 2 Shuttle,bruns2,"4229532,4229624,4229616,4229558,4229496,4229492,4229584"
4012650,Route Weekend 1,wk1,"4229492,4229620,4229536,4229496,4229626,4229504,4229508,4229512,4229516,4229520,4229524,4229570,4229574,4229576,4229696,4229694,4229538,4229596,4229542,4229600,4229604,4229546,4229608,4229550,4229554,4229612,4229616,4229532,4229558"
4012652,Route Weekend 2,wk2,"4229492,4229620,4229536,4229698,4229588,4229592,4229538,4229596,4229542,4229600,4229604,4229546,4229608,4229550,4229496,4229570,4229574,4229576,4229524,4229566,4229516,4229578,4229508"
4012654,Route All Campuses,ac,"4229492,4229620,4229536,4229496,4229626,4229504,4229508,4229512,4229516,4229520,4229524,4229570,4229574,4229576,4229696,4229694,4229538,4229596,4229542,4229600,4229604,4229546,4229608,4229550,4229554,4229612,4229616,4229532,4229558"